nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,test_nloglik
30,2,0.1,0,0.5,1,0.5,0.4663845807072054
40,2,0.1,0,0.5,1,0.5,0.4566883683661927
50,2,0.1,0,0.5,1,0.5,0.45222579884538183
60,2,0.1,0,0.5,1,0.5,0.45031856871364745
70,2,0.1,0,0.5,1,0.5,0.44944311129356773
80,2,0.1,0,0.5,1,0.5,0.4489006201850712
90,2,0.1,0,0.5,1,0.5,0.44867471252151653
100,2,0.1,0,0.5,1,0.5,0.44851371535463075
10,3,0.1,0,0.5,1,0.5,0.5323821220245574
20,3,0.1,0,0.5,1,0.5,0.4871448593698357
30,3,0.1,0,0.5,1,0.5,0.4655877514626815
40,3,0.1,0,0.5,1,0.5,0.4557005202697674
50,3,0.1,0,0.5,1,0.5,0.4515978249338355
60,3,0.1,0,0.5,1,0.5,0.4497292552427716
70,3,0.1,0,0.5,1,0.5,0.4488953032863645
80,3,0.1,0,0.5,1,0.5,0.4483726937423011
90,3,0.1,0,0.5,1,0.5,0.44828721969836016
100,3,0.1,0,0.5,1,0.5,0.44792354455132216
10,4,0.1,0,0.5,1,0.5,0.5322505606496634
20,4,0.1,0,0.5,1,0.5,0.4869872391239024
30,4,0.1,0,0.5,1,0.5,0.46527121861045084
40,4,0.1,0,0.5,1,0.5,0.4556221907555437
50,4,0.1,0,0.5,1,0.5,0.4510639981157188
60,4,0.1,0,0.5,1,0.5,0.44922944922798513
70,4,0.1,0,0.5,1,0.5,0.44842436088241056
80,4,0.1,0,0.5,1,0.5,0.44808594683176245
90,4,0.1,0,0.5,1,0.5,0.44774674028753403
100,4,0.1,0,0.5,1,0.5,0.4478652625162114
10,5,0.1,0,0.5,1,0.5,0.5322095102550958
20,5,0.1,0,0.5,1,0.5,0.4865574026399538
30,5,0.1,0,0.5,1,0.5,0.46502494892734214
40,5,0.1,0,0.5,1,0.5,0.4552993033826729
50,5,0.1,0,0.5,1,0.5,0.4509993036435608
60,5,0.1,0,0.5,1,0.5,0.44904734823808373
70,5,0.1,0,0.5,1,0.5,0.4483797616742678
80,5,0.1,0,0.5,1,0.5,0.44787643110951647
90,5,0.1,0,0.5,1,0.5,0.44804841086019004
100,5,0.1,0,0.5,1,0.5,0.44783718239118264
10,6,0.1,0,0.5,1,0.5,0.5321379371548618
20,6,0.1,0,0.5,1,0.5,0.4865670808364436
30,6,0.1,0,0.5,1,0.5,0.4652017268060036
40,6,0.1,0,0.5,1,0.5,0.4550916676662037
50,6,0.1,0,0.5,1,0.5,0.4510840858809693
60,6,0.1,0,0.5,1,0.5,0.44909478294389854
70,6,0.1,0,0.5,1,0.5,0.4482026758795307
80,6,0.1,0,0.5,1,0.5,0.44837275608484056
90,6,0.1,0,0.5,1,0.5,0.447791587501564
100,6,0.1,0,0.5,1,0.5,0.44816585476603527
10,7,0.1,0,0.5,1,0.5,0.5325546981400715
20,7,0.1,0,0.5,1,0.5,0.48676071430474044
30,7,0.1,0,0.5,1,0.5,0.4648214423343551
40,7,0.1,0,0.5,1,0.5,0.4550326225639992
50,7,0.1,0,0.5,1,0.5,0.45112592322086276
60,7,0.1,0,0.5,1,0.5,0.4491642737279771
70,7,0.1,0,0.5,1,0.5,0.4484462758153488
80,7,0.1,0,0.5,1,0.5,0.4481744586531429
90,7,0.1,0,0.5,1,0.5,0.44845060289223543
100,7,0.1,0,0.5,1,0.5,0.4485567277605378
10,8,0.1,0,0.5,1,0.5,0.5320748468718793
20,8,0.1,0,0.5,1,0.5,0.48663158518860494
30,8,0.1,0,0.5,1,0.5,0.46521917577552335
40,8,0.1,0,0.5,1,0.5,0.4550551967469079
50,8,0.1,0,0.5,1,0.5,0.4509670639152216
60,8,0.1,0,0.5,1,0.5,0.4492100465104585
70,8,0.1,0,0.5,1,0.5,0.4483998987875688
80,8,0.1,0,0.5,1,0.5,0.4487657188679508
90,8,0.1,0,0.5,1,0.5,0.4485907190563188
100,8,0.1,0,0.5,1,0.5,0.44937012466339143
10,1,0.15,0,0.5,1,0.5,0.5070736768537144
20,1,0.15,0,0.5,1,0.5,0.46763336675408346
30,1,0.15,0,0.5,1,0.5,0.4553838121061122
40,1,0.15,0,0.5,1,0.5,0.45173980130698516
50,1,0.15,0,0.5,1,0.5,0.4503420450951646
60,1,0.15,0,0.5,1,0.5,0.4497444125304753
70,1,0.15,0,0.5,1,0.5,0.44931753814454733
80,1,0.15,0,0.5,1,0.5,0.44895276149067365
90,1,0.15,0,0.5,1,0.5,0.44874273972831913
100,1,0.15,0,0.5,1,0.5,0.4485942901140719
10,2,0.15,0,0.5,1,0.5,0.5061866800463989
20,2,0.15,0,0.5,1,0.5,0.4660693249173676
30,2,0.15,0,0.5,1,0.5,0.4538766730679735
40,2,0.15,0,0.5,1,0.5,0.45041249000781264
50,2,0.15,0,0.5,1,0.5,0.4490790484839214
60,2,0.15,0,0.5,1,0.5,0.4486460609062505
70,2,0.15,0,0.5,1,0.5,0.4484755740875358
80,2,0.15,0,0.5,1,0.5,0.4481002597927654
90,2,0.15,0,0.5,1,0.5,0.44789774244650726
100,2,0.15,0,0.5,1,0.5,0.44782773961376604
10,3,0.15,0,0.5,1,0.5,0.505508880194389
20,3,0.15,0,0.5,1,0.5,0.46548187924223505
30,3,0.15,0,0.5,1,0.5,0.4531703732437269
40,3,0.15,0,0.5,1,0.5,0.44942908991858527
50,3,0.15,0,0.5,1,0.5,0.44848905870780226
60,3,0.15,0,0.5,1,0.5,0.4480452841030155
70,3,0.15,0,0.5,1,0.5,0.4477653183555077
80,3,0.15,0,0.5,1,0.5,0.4476511573923018
90,3,0.15,0,0.5,1,0.5,0.4478025785115182
100,3,0.15,0,0.5,1,0.5,0.4473233427910024
10,4,0.15,0,0.5,1,0.5,0.5054280641204114
20,4,0.15,0,0.5,1,0.5,0.4650990407047555
30,4,0.15,0,0.5,1,0.5,0.4525724541447866
40,4,0.15,0,0.5,1,0.5,0.4491801900446657
50,4,0.15,0,0.5,1,0.5,0.4484515454690982
60,4,0.15,0,0.5,1,0.5,0.4479480507163576
70,4,0.15,0,0.5,1,0.5,0.4478355032054794
80,4,0.15,0,0.5,1,0.5,0.4476571815820128
90,4,0.15,0,0.5,1,0.5,0.44756659373145946
100,4,0.15,0,0.5,1,0.5,0.4478613269819793
10,5,0.15,0,0.5,1,0.5,0.505274360353137
20,5,0.15,0,0.5,1,0.5,0.46495736737995624
30,5,0.15,0,0.5,1,0.5,0.45245149123231804
40,5,0.15,0,0.5,1,0.5,0.4490228434357128
50,5,0.15,0,0.5,1,0.5,0.44795375738634
60,5,0.15,0,0.5,1,0.5,0.4482906581548161
70,5,0.15,0,0.5,1,0.5,0.4480274616140469
80,5,0.15,0,0.5,1,0.5,0.44830032985122703
90,5,0.15,0,0.5,1,0.5,0.44829273761686805
100,5,0.15,0,0.5,1,0.5,0.4484020664671971
10,6,0.15,0,0.5,1,0.5,0.5052507999673157
20,6,0.15,0,0.5,1,0.5,0.4649183578647516
30,6,0.15,0,0.5,1,0.5,0.4523707552338475
40,6,0.15,0,0.5,1,0.5,0.4491036406477983
50,6,0.15,0,0.5,1,0.5,0.44823220450881773
60,6,0.15,0,0.5,1,0.5,0.44854573333702535
70,6,0.15,0,0.5,1,0.5,0.4482262385592919
80,6,0.15,0,0.5,1,0.5,0.44880163664394584
90,6,0.15,0,0.5,1,0.5,0.44870538536521565
100,6,0.15,0,0.5,1,0.5,0.4489300022177132
10,7,0.15,0,0.5,1,0.5,0.5050806388769118
20,7,0.15,0,0.5,1,0.5,0.464743982246011
30,7,0.15,0,0.5,1,0.5,0.4521576383672872
40,7,0.15,0,0.5,1,0.5,0.4495562404411156
50,7,0.15,0,0.5,1,0.5,0.448460321529052
60,7,0.15,0,0.5,1,0.5,0.4488009143917392
70,7,0.15,0,0.5,1,0.5,0.4492585532168352
80,7,0.15,0,0.5,1,0.5,0.4486295117108298
90,7,0.15,0,0.5,1,0.5,0.4497874221192673
100,7,0.15,0,0.5,1,0.5,0.45022523582157387
10,8,0.15,0,0.5,1,0.5,0.5052205506675351
20,8,0.15,0,0.5,1,0.5,0.46481092000805785
30,8,0.15,0,0.5,1,0.5,0.4526394676722278
40,8,0.15,0,0.5,1,0.5,0.4492176134603189
50,8,0.15,0,0.5,1,0.5,0.44961465118373073
60,8,0.15,0,0.5,1,0.5,0.4490992453391445
70,8,0.15,0,0.5,1,0.5,0.4494264592397453
80,8,0.15,0,0.5,1,0.5,0.45092222501951074
90,8,0.15,0,0.5,1,0.5,0.4505334947276185
100,8,0.15,0,0.5,1,0.5,0.45060619611839636
10,1,0.2,0,0.5,1,0.5,0.48827713763021496
20,1,0.2,0,0.5,1,0.5,0.4580165863188275
30,1,0.2,0,0.5,1,0.5,0.4516561843154396
40,1,0.2,0,0.5,1,0.5,0.44997123764979485
50,1,0.2,0,0.5,1,0.5,0.44947158235101387
60,1,0.2,0,0.5,1,0.5,0.4490887505696974
70,1,0.2,0,0.5,1,0.5,0.44860837459167396
80,1,0.2,0,0.5,1,0.5,0.44848574841295347
90,1,0.2,0,0.5,1,0.5,0.44857871762438833
100,1,0.2,0,0.5,1,0.5,0.44819343213087376
10,2,0.2,0,0.5,1,0.5,0.487320986120283
20,2,0.2,0,0.5,1,0.5,0.4562420967910576
30,2,0.2,0,0.5,1,0.5,0.45027523881970943
40,2,0.2,0,0.5,1,0.5,0.4488596690778514
50,2,0.2,0,0.5,1,0.5,0.4484892072434311
60,2,0.2,0,0.5,1,0.5,0.44808799603128685
70,2,0.2,0,0.5,1,0.5,0.44830137295683886
80,2,0.2,0,0.5,1,0.5,0.4480319997850799
90,2,0.2,0,0.5,1,0.5,0.44788391592026877
100,2,0.2,0,0.5,1,0.5,0.44806748722802026
10,3,0.2,0,0.5,1,0.5,0.48679133735723734
20,3,0.2,0,0.5,1,0.5,0.4557745752576006
30,3,0.2,0,0.5,1,0.5,0.44970504605857786
40,3,0.2,0,0.5,1,0.5,0.4482616070513416
50,3,0.2,0,0.5,1,0.5,0.448183073707146
60,3,0.2,0,0.5,1,0.5,0.44775975012470104
70,3,0.2,0,0.5,1,0.5,0.4479821250160092
80,3,0.2,0,0.5,1,0.5,0.447859907108698
90,3,0.2,0,0.5,1,0.5,0.44762560634125304
100,3,0.2,0,0.5,1,0.5,0.4477889224063513
10,4,0.2,0,0.5,1,0.5,0.4865765442483594
20,4,0.2,0,0.5,1,0.5,0.45542215558249366
30,4,0.2,0,0.5,1,0.5,0.4491250441103773
40,4,0.2,0,0.5,1,0.5,0.4480121743492357
50,4,0.2,0,0.5,1,0.5,0.4480475698316419
60,4,0.2,0,0.5,1,0.5,0.44778738176578153
70,4,0.2,0,0.5,1,0.5,0.44800693814449283
80,4,0.2,0,0.5,1,0.5,0.4477954209283572
90,4,0.2,0,0.5,1,0.5,0.44858125759070894
100,4,0.2,0,0.5,1,0.5,0.4484878793229367
10,5,0.2,0,0.5,1,0.5,0.48638183811111196
20,5,0.2,0,0.5,1,0.5,0.45493988630329024
30,5,0.2,0,0.5,1,0.5,0.4489813150611741
40,5,0.2,0,0.5,1,0.5,0.44799245747154415
50,5,0.2,0,0.5,1,0.5,0.44806891954384676
60,5,0.2,0,0.5,1,0.5,0.4482508034418655
70,5,0.2,0,0.5,1,0.5,0.4485892392912251
80,5,0.2,0,0.5,1,0.5,0.4488491927743366
90,5,0.2,0,0.5,1,0.5,0.4486637687974997
100,5,0.2,0,0.5,1,0.5,0.44850075243512366
10,6,0.2,0,0.5,1,0.5,0.4861189320876216
20,6,0.2,0,0.5,1,0.5,0.4546187926587374
30,6,0.2,0,0.5,1,0.5,0.44934217057198156
40,6,0.2,0,0.5,1,0.5,0.44857848806279793
50,6,0.2,0,0.5,1,0.5,0.4485239697608463
60,6,0.2,0,0.5,1,0.5,0.4485846148577082
70,6,0.2,0,0.5,1,0.5,0.44908183100395943
80,6,0.2,0,0.5,1,0.5,0.44956312107898705
90,6,0.2,0,0.5,1,0.5,0.4493347713948638
100,6,0.2,0,0.5,1,0.5,0.4495061575187804
10,7,0.2,0,0.5,1,0.5,0.48599421343629867
20,7,0.2,0,0.5,1,0.5,0.4549245602084452
30,7,0.2,0,0.5,1,0.5,0.44933912612114224
40,7,0.2,0,0.5,1,0.5,0.44848655051188724
50,7,0.2,0,0.5,1,0.5,0.44901846882580365
60,7,0.2,0,0.5,1,0.5,0.44964599172439923
70,7,0.2,0,0.5,1,0.5,0.44967681382148095
80,7,0.2,0,0.5,1,0.5,0.45093812903730873
90,7,0.2,0,0.5,1,0.5,0.45114853032440655
100,7,0.2,0,0.5,1,0.5,0.45154925980715016
10,8,0.2,0,0.5,1,0.5,0.4861875782815932
20,8,0.2,0,0.5,1,0.5,0.45470951567431134
30,8,0.2,0,0.5,1,0.5,0.4492676794260642
40,8,0.2,0,0.5,1,0.5,0.4492134802386395
50,8,0.2,0,0.5,1,0.5,0.4498979111918445
60,8,0.2,0,0.5,1,0.5,0.45028123091629957
70,8,0.2,0,0.5,1,0.5,0.450840564920408
80,8,0.2,0,0.5,1,0.5,0.4523377487147069
90,8,0.2,0,0.5,1,0.5,0.4522349329411274
100,8,0.2,0,0.5,1,0.5,0.45406978377289864
10,1,0.25,0,0.5,1,0.5,0.47559578934735885
20,1,0.25,0,0.5,1,0.5,0.4535758098842014
30,1,0.25,0,0.5,1,0.5,0.4502823141714567
40,1,0.25,0,0.5,1,0.5,0.44939492385859964
50,1,0.25,0,0.5,1,0.5,0.4489950930102129
60,1,0.25,0,0.5,1,0.5,0.44868329495962517
70,1,0.25,0,0.5,1,0.5,0.44847649120639005
80,1,0.25,0,0.5,1,0.5,0.4483447049734271
90,1,0.25,0,0.5,1,0.5,0.4482543236092999
100,1,0.25,0,0.5,1,0.5,0.44812155277984356
10,2,0.25,0,0.5,1,0.5,0.4741391653174711
20,2,0.25,0,0.5,1,0.5,0.4520457677310746
30,2,0.25,0,0.5,1,0.5,0.44922382232881636
